"id","student_name","admission_date","major","gpa","email","phone","address","city","state","zip_code","country","enrollment_status","tuition_paid","scholarship","date_of_birth","emergency_contact","emergency_phone","academic_advisor","graduation_year","last_updated"
1,"Student 1","2024-12-07","Mathematics","3.77","student1@example.com","(732) 485-7352","1 Main St","Los Angeles","CA","93249","USA","Part-Time","37712.30",False,"1995-08-27","Contact 1","(216) 315-6200","Advisor 2",2025,"2025-08-20 00:13:10.943657"
2,"Student 2","2024-10-12","Physics","3.13","student2@example.com","(268) 667-0074","2 Main St","Chicago","IL","96943","USA","On-Leave","38978.38",False,"1995-01-08","Contact 2","(545) 541-1202","Advisor 3",2026,"2025-08-20 00:13:10.943657"
3,"Student 3","2025-07-26","Biology","1.12","student3@example.com","(309) 478-7109","3 Main St","Houston","TX","56878","USA","Full-Time","1780.10",False,"1995-12-08","Contact 3","(276) 880-4855","Advisor 4",2027,"2025-08-20 00:13:10.943657"
4,"Student 4","2025-06-03","History","2.17","student4@example.com","(163) 403-2240","4 Main St","Phoenix","AZ","46324","USA","Part-Time","19974.84",False,"1995-04-13","Contact 4","(477) 730-6271","Advisor 5",2024,"2025-08-20 00:13:10.943657"
5,"Student 5","2024-09-14","Computer Science","3.22","student5@example.com","(130) 897-8213","5 Main St","New York","NY","92750","USA","On-Leave","27914.57",True,"1995-09-01","Contact 5","(526) 927-6602","Advisor 6",2025,"2025-08-20 00:13:10.943657"
6,"Student 6","2025-08-10","Mathematics","1.78","student6@example.com","(411) 236-6925","6 Main St","Los Angeles","CA","95393","USA","Full-Time","31070.35",False,"1995-05-15","Contact 6","(389) 473-3787","Advisor 7",2026,"2025-08-20 00:13:10.943657"
7,"Student 7","2024-11-11","Physics","0.76","student7@example.com","(337) 696-2770","7 Main St","Chicago","IL","15186","USA","Part-Time","31745.60",False,"1995-11-20","Contact 7","(747) 507-9681","Advisor 8",2027,"2025-08-20 00:13:10.943657"
8,"Student 8","2025-02-12","Biology","3.23","student8@example.com","(651) 570-2076","8 Main St","Houston","TX","87883","USA","On-Leave","38922.57",False,"1995-03-02","Contact 8","(738) 256-7090","Advisor 9",2024,"2025-08-20 00:13:10.943657"
9,"Student 9","2024-12-08","History","3.84","student9@example.com","(141) 853-8227","9 Main St","Phoenix","AZ","21732","USA","Full-Time","14344.94",False,"1995-04-21","Contact 9","(553) 811-1190","Advisor 10",2025,"2025-08-20 00:13:10.943657"
10,"Student 10","2025-01-16","Computer Science","3.27","student10@example.com","(834) 582-3370","10 Main St","New York","NY","91452","USA","Part-Time","14286.23",True,"1995-02-21","Contact 10","(246) 176-0545","Advisor 1",2026,"2025-08-20 00:13:10.943657"
11,"Student 11","2024-11-16","Mathematics","2.07","student11@example.com","(939) 447-7700","11 Main St","Los Angeles","CA","35872","USA","On-Leave","17653.19",False,"1995-11-22","Contact 11","(301) 954-0474","Advisor 2",2027,"2025-08-20 00:13:10.943657"
12,"Student 12","2025-05-08","Physics","2.58","student12@example.com","(158) 954-7492","12 Main St","Chicago","IL","64370","USA","Full-Time","27495.13",False,"1995-02-21","Contact 12","(213) 460-5545","Advisor 3",2024,"2025-08-20 00:13:10.943657"
13,"Student 13","2025-04-04","Biology","3.12","student13@example.com","(930) 657-1900","13 Main St","Houston","TX","40749","USA","Part-Time","43310.05",False,"1995-02-18","Contact 13","(986) 270-7396","Advisor 4",2025,"2025-08-20 00:13:10.943657"
14,"Student 14","2025-01-11","History","1.67","student14@example.com","(206) 783-3092","14 Main St","Phoenix","AZ","71100","USA","On-Leave","41487.70",False,"1995-11-29","Contact 14","(443) 412-3682","Advisor 5",2026,"2025-08-20 00:13:10.943657"
15,"Student 15","2024-09-08","Computer Science","1.49","student15@example.com","(603) 188-0384","15 Main St","New York","NY","08619","USA","Full-Time","32908.31",True,"1995-11-10","Contact 15","(128) 702-5045","Advisor 6",2027,"2025-08-20 00:13:10.943657"
16,"Student 16","2025-08-13","Mathematics","2.70","student16@example.com","(239) 368-7750","16 Main St","Los Angeles","CA","00125","USA","Part-Time","30872.73",False,"1995-06-22","Contact 16","(742) 994-8339","Advisor 7",2024,"2025-08-20 00:13:10.943657"
17,"Student 17","2024-09-25","Physics","1.43","student17@example.com","(336) 217-5527","17 Main St","Chicago","IL","83692","USA","On-Leave","1530.43",False,"1995-01-13","Contact 17","(288) 365-4454","Advisor 8",2025,"2025-08-20 00:13:10.943657"
18,"Student 18","2024-12-01","Biology","3.25","student18@example.com","(925) 439-8514","18 Main St","Houston","TX","27140","USA","Full-Time","17372.40",False,"1995-06-14","Contact 18","(271) 653-0538","Advisor 9",2026,"2025-08-20 00:13:10.943657"
19,"Student 19","2025-04-30","History","1.71","student19@example.com","(846) 664-5259","19 Main St","Phoenix","AZ","16550","USA","Part-Time","1728.44",False,"1995-02-18","Contact 19","(461) 146-6907","Advisor 10",2027,"2025-08-20 00:13:10.943657"
20,"Student 20","2024-12-23","Computer Science","1.85","student20@example.com","(508) 977-2014","20 Main St","New York","NY","96797","USA","On-Leave","234.37",True,"1995-02-16","Contact 20","(579) 118-9924","Advisor 1",2024,"2025-08-20 00:13:10.943657"
21,"Student 21","2025-02-09","Mathematics","0.96","student21@example.com","(790) 628-1761","21 Main St","Los Angeles","CA","78325","USA","Full-Time","18046.33",False,"1995-02-11","Contact 21","(641) 805-6391","Advisor 2",2025,"2025-08-20 00:13:10.943657"
22,"Student 22","2025-02-28","Physics","1.90","student22@example.com","(431) 980-6759","22 Main St","Chicago","IL","70662","USA","Part-Time","14103.33",False,"1995-08-28","Contact 22","(681) 148-9277","Advisor 3",2026,"2025-08-20 00:13:10.943657"
23,"Student 23","2025-01-20","Biology","2.67","student23@example.com","(211) 517-4518","23 Main St","Houston","TX","97137","USA","On-Leave","30847.10",False,"1995-03-29","Contact 23","(613) 124-0293","Advisor 4",2027,"2025-08-20 00:13:10.943657"
24,"Student 24","2025-01-03","History","2.33","student24@example.com","(714) 558-1139","24 Main St","Phoenix","AZ","93774","USA","Full-Time","6124.54",False,"1995-03-18","Contact 24","(901) 545-4945","Advisor 5",2024,"2025-08-20 00:13:10.943657"
25,"Student 25","2025-07-14","Computer Science","3.47","student25@example.com","(535) 478-0157","25 Main St","New York","NY","87319","USA","Part-Time","24125.53",True,"1995-03-26","Contact 25","(989) 239-9211","Advisor 6",2025,"2025-08-20 00:13:10.943657"
26,"Student 26","2024-10-21","Mathematics","2.98","student26@example.com","(806) 346-4210","26 Main St","Los Angeles","CA","28089","USA","On-Leave","3054.87",False,"1995-11-17","Contact 26","(590) 793-2863","Advisor 7",2026,"2025-08-20 00:13:10.943657"
27,"Student 27","2024-12-16","Physics","0.88","student27@example.com","(201) 785-5150","27 Main St","Chicago","IL","15162","USA","Full-Time","13271.12",False,"1995-04-30","Contact 27","(483) 560-6795","Advisor 8",2027,"2025-08-20 00:13:10.943657"
28,"Student 28","2025-03-25","Biology","3.68","student28@example.com","(323) 407-9990","28 Main St","Houston","TX","89099","USA","Part-Time","20856.74",False,"1995-11-14","Contact 28","(960) 636-0106","Advisor 9",2024,"2025-08-20 00:13:10.943657"
29,"Student 29","2024-11-30","History","2.55","student29@example.com","(761) 675-3588","29 Main St","Phoenix","AZ","61956","USA","On-Leave","13727.41",False,"1995-07-15","Contact 29","(345) 401-4725","Advisor 10",2025,"2025-08-20 00:13:10.943657"
